Date,Forecast_Revenue
2025-01-01,1681103170.1815
2025-02-01,1613559090.8515
2025-03-01,1795331621.19
2025-04-01,1685703292.133
2025-05-01,1737767801.5775
2025-06-01,1709368551.4185
2025-07-01,1708338121.4485
2025-08-01,1759781286.863
2025-09-01,1647125006.978
2025-10-01,1700723169.002
2025-11-01,1692264697.7235
2025-12-01,1761611547.008
